INFO  22:58:07,530 | james.mailetcontainer | Mailet VirtualUserTable instantiated.
INFO  22:58:07,537 | james.mailetcontainer | Matcher RecipientIsLocal instantiated.
INFO  22:58:07,569 | james.mailetcontainer | Mailet LocalDelivery instantiated.
INFO  22:58:07,576 | james.mailetcontainer | Matcher HostIsLocal instantiated.
INFO  22:58:07,578 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:58:07,585 | james.mailetcontainer | Matcher All instantiated.
INFO  22:58:07,631 | james.mailetcontainer | Mailet RemoteDelivery instantiated.
INFO  22:58:07,642 | james.mailetcontainer | Matcher All instantiated.
INFO  22:58:07,715 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:58:07,716 | james.mailetcontainer | Matcher All instantiated.
INFO  22:58:07,725 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:58:07,726 | james.mailetcontainer | Matcher All instantiated.
INFO  22:58:07,732 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:58:07,734 | james.mailetcontainer | Matcher All instantiated.
INFO  22:58:07,740 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:58:07,741 | james.mailetcontainer | Matcher All instantiated.
INFO  22:58:07,762 | james.mailetcontainer | Mailet DSNBounce instantiated.
INFO  22:58:08,314 | james.mailetcontainer | JamesSpoolManager init...
INFO  22:58:08,314 | james.mailetcontainer | Spooler Manager uses 20 Thread(s)
